weaks,Расходы
2021-05-16,1495384616
2021-05-23,1510961539
2021-05-30,1526538462
2021-06-06,1651153846
2021-06-13,1666730770
2021-06-20,1682307693
2021-06-27,1697884616
2021-07-04,1713461539
2021-07-11,1729038462
2021-07-18,1744615385
2021-07-25,1760192308
2021-08-01,1775769231
2021-08-08,1791346154
2021-08-15,1806923077
2021-08-22,1822500000
2021-08-29,1838076923
2021-09-05,1729038462
2021-09-12,1744615385
2021-09-19,1760192308
2021-09-26,1775769231
2021-10-03,1791346154
2021-10-10,1806923077
2021-10-17,1822500000
2021-10-24,1838076923
2021-10-31,1853653847
2021-11-07,1869230770
2021-11-14,1884807693
2021-11-21,1900384616
2021-11-28,1915961539
2021-12-05,1697884616
2021-12-12,1713461539
2021-12-19,1729038462
2021-12-26,1744615385
